property_id,TagLine, ListPrice ,Bedrooms,Bathrooms,LivingArea,LotSizeSquareFeet,YearBuilt,PropertyType,OnMarketDate,StreetName,City,Lat,Lon,Company
23528,"Bo. Buena Vista, Casa en Cayey"," $170,000.00 ",7,4.0,3642,900,2004,Multi-Family Homes,12/21/2021,Bo. Buena Vista Sector Campito Carr 14 Ramal 730 Km 5.4,Cayey,18.119056,-66.185444,Company1
23552,"Bo. Dajaos, Casa en Bayamon"," $100,000.00 ",2,1.0,2704,1553,2015,Homes,1/9/2022,Carr 8829 Km 1.9 Sector Monchito de Jesus del Barrio Dajaos,Bayamon,18.3055167,-66.17631,Company3
23979,"Cond. Condesa Del Mar, Apartamento en Carolina"," $619,000.00 ",2,3.0,1445,134,1968,Apartment,1/14/2022,3103 Ave Isla Verde Cond Condesa del Mar apt 702,Carolina - Isla Verde,18.4491,-66.0365,Company1
23995,"Bo. Sabana Yeguas, Finca en Lajas"," $195,000.00 ",0,0.0,0,11939,0,Land,1/12/2022,Carr 315 km 0.65 Sector Piedras Blancas Bo Sabana Yeguas,Lajas,18.04662847,-67.06233421,Company1
24109,"BO. MORA, CASA EN ISABELA"," $375,000.00 ",5,3.0,3000,2041,2000,Homes,1/19/2022,BO MORA CALLE GUERRERO 4,Isabela,18.470319,-67.028199,Company1
24276,"Bo. Honduras, Finca en Barranquitas"," $200,000.00 ",0,0.0,0,208310,0,Land,1/30/2022,Carr 7174 Km 3.1 Bo Honduras,Barranquitas,18.178885,-66.25428,Company3
24292,"Bo. Cedro Arriba, Terreno en Naranjito"," $250,000.00 ",0,0.0,0,91318,0,Land,1/17/2022,Carr. 152 KM 15.6 Bo. Cedro Arriba,Naranjito,18.276095,-66.275574,Company1
24293,"Bo. Pajaros, Propiedad Comercial en Toa Baja"," $295,000.00 ",5,5.0,9719,902,1970,Commercial,1/28/2022,Carr 819 Km 0 Hm 6 Pajaros,Toa Baja,18.3953313,-66.2127087,Company1
24385,"BO. PALMAREJO, CASA EN VILLALBA"," $160,000.00 ",6,3.0,1943,7074,1971,Homes,1/28/2022,BO. PALMAREJO CARR 149 KM. HM 536.0,Villalba,18.138995,-66.49806,Company1
24538,"Bo. Corcovado, Solar en Hatillo"," $65,000.00 ",0,0.0,0,933,0,Land,2/1/2022,Carr 490 Km 3.7 Bo. Corcovado,Hatillo,18.447327,-66.775078,Company1
24846,"Bo. Jauca, Finca en Santa Isabel"," $405,000.00 ",0,0.0,0,76162,0,Land,2/16/2022,Carr. #1 Km 95.6 Bo. Jauca Finca A,Santa Isabel,17.978552,-66.342464,Company1
24848,"Bo. Jauca, Terreno en Santa Isabel"," $405,000.00 ",0,0.0,0,76162,0,Land,2/16/2022,Carr. #1 Km 95.6 Bo. Jauca Finca B,Santa Isabel,17.978552,-66.342464,Company1
24861,"Urb. Hacienda San Jose, Casa en Caguas"," $675,000.00 ",4,5.0,3311,554,2002,Homes,2/28/2022,Urb. Hacienda San Jose Cautiva 90,Caguas,18.24426603,-66.07396434,Company1
24896,"Bo. Guavate, Terreno en Cayey"," $300,000.00 ",0,0.0,0,20423,0,Land,2/28/2022,Carr 184 Km 27.6 Villas de Guavate Parcela 22 Bo. Guavate,Cayey,18.140784,-66.092343,Company1
24911,"Bo. Mabú, Casa en Humacao"," $44,000.00 ",4,2.0,1443,213,1990,Homes,2/28/2022,# 68 Calle Jose Diaz Comm Obrera Bo. Mabú,Humacao,18.15472436,-65.83234764,Company1
24970,"Bo. Montaña, Solar en Aguadilla"," $595,000.00 ",0,0.0,0,7641,0,Land,2/19/2022,Bo Montaña CARR 110 KM.HM 6.4 San Antonio,Aguadilla,18.497314,-67.100282,Company1
25001,"Comunidad Pueblo Indio, Casa en Canovanas"," $25,000.00 ",1,1.0,586,748,1980,Homes,2/28/2022,Lote # 230 Carr 8874 Comm Pueblo Indio,Canovanas,18.39968047,-65.91423759,Company1
25015,"Bo. Victoria, Edificio en Aguadilla"," $375,000.00 ",5,5.0,3000,1900,1982,Commercial,3/2/2022,Bo Victoria Edificio #302,Aguadilla,18.4122475,-67.153872,Company1
25019,"Urb. Mendoza, Casa en Mayaguez"," $235,000.00 ",4,4.0,2700,904,1980,Homes,2/28/2022,Urb Mendoza Calle C #15 Bo Miradero,Mayaguez,18.233774,-67.133917,Company1
25043,"Bo. Pueblo, Local Comercial en Ceiba"," $110,000.00 ",0,2.0,1300,312,1960,Commercial,3/15/2022,Avenida Lauro Piñero 280,Ceiba,18.263,-65.648,Company1
25070,"Bo. Caimito, Terreno en San Juan"," $195,000.00 ",0,0.0,0,4896,0,Land,4/13/2022,Bo Caimito Lote 26 Camino Los Romeros,San Juan - Rio Piedras,18.3372193,-66.0637267,Company3
25075,"Bo. Leguizamo, Casa en Mayagüez"," $650,000.00 ",9,7.5,3709,1868,1976,Multi-Family Homes,3/3/2022,Bo. Leguizamo Carr 108 Camino Cesar Gomez Km 105,Mayaguez,18.248024,-67.095909,Company1
25087,"Urb. Haciendas De Tortuguero, Solar en Vega Baja"," $99,000.00 ",0,0.0,0,1467,0,Land,3/15/2022,Haciendas de Tortuguero Lote 2,Vega Baja,18.462667,-66.420879,Company3
25096,"Urb. Salinas Providencia, Casa en Guanica"," $205,000.00 ",3,3.0,976,735,1980,Homes,3/4/2022,60-A Salinas Providencia,Guanica,17.936204,-66.954326,Company1
25150,"Urb. San Agustin, Solar en San Juan"," $299,000.00 ",0,0.0,0,10600,0,Land,3/31/2022,Carr 181 km 65.0 Urb San Agustin (RP),San Juan - Rio Piedras,18.391831,-66.031355,Company3
25188,"Cond. Harbour Point, Apartamento en Humacao"," $460,000.00 ",3,2.0,1784,27,2004,Apartment,4/5/2022,Cond. Harbour Point Apt B-302 Palmas del Mar,Humacao - Palmas Del Mar,18.08656,-65.80412,Company1
25198,"Bo. Algarrobo, Solar en Vega Baja"," $340,000.00 ",0,0.0,0,5649,0,Land,3/30/2022,Carr #2 KM 43.60 Bo. Algarrobo Solar #1 Finca #11933 F 265 T. 208 R.P,Vega Baja,18.44495297,-66.40522225,Company1
25206,"Bo. Quebrada Arena, Casa en Toa Alta"," $115,000.00 ",2,2.0,1500,2000,1995,Homes,4/9/2022,Bo Quebrada Arena Carr 165 Solar 5,Toa Alta,18.348018,-66.278704,Company3
25217,"Bo. Helechal, Finca en Barranquitas"," $79,500.00 ",0,0.0,0,10356,0,Land,4/11/2022,Lot 4 PR 143 (Int) Helechal Ward,Barranquitas,18.17581468,-66.32659893,Company1
25235,"Bo. San Isidro, Casa en Canovanas"," $101,000.00 ",4,1.0,783,534,1978,Homes,3/14/2022,458 CALLE 19 Comm SAN ISIDRO,Canovanas,18.3914608,-65.8800322,Company1
25246,"Bo. Coto Norte, Casa en Manati"," $375,000.00 ",3,2.0,1485,9394,1990,Homes,4/1/2022,Carr 686 Km 0.2 Barrio Coto Norte Sector Guayaney,Manati,18.44431483,-66.45976257,Company1
25275,"Bo. Vallas Torres, Terreno en Ponce"," $1,300,000.00 ",0,0.0,0,49129,0,Land,4/1/2022,Lot 3-A Vallas Torres Road Vallas Torres Sector,Ponce,17.99606463,-66.57774596,Company1
25315,"Bo. Pueblo, Casa en Mayaguez"," $210,000.00 ",4,2.0,1200,250,1990,Homes,3/30/2022,#70 Calle Santa Isabel,Mayaguez,18.20111707,-67.14262323,Company1
25341,"Bo. Mora, Casa en Isabela"," $375,000.00 ",6,4.0,2500,600,1982,Multi-Family Homes,4/25/2022,Carr #2 int 831 Calle Kuwait Sect. Jabillo Bo Mora,Isabela,18.47429,-67.017967,Company2
25354,"Bo. Mora, Casa en Isabela"," $490,000.00 ",5,3.0,2190,550,1995,Homes,3/3/2022,Calle Venus 1011,Isabela,18.495385,-67.020276,Company1
25387,"Bo. Cayaguas, Terreno en San Lorenzo"," $55,000.00 ",0,0.0,0,1000,0,Land,5/2/2022,Bo Cayaguas Ramal 9911,San Lorenzo,18.15184,-65.95829,Company3
25417,"Urb. Las Lomas, Casa en San Juan"," $140,000.00 ",3,1.0,2787,259,1956,Homes,2/24/2022,Urb Las Lomas Calle 30 SO 1662,San Juan - Rio Piedras,18.3938871,-66.0923681,Company1
25461,"Bo. Cedro Arriba, Finca en Naranjito"," $220,000.00 ",0,0.0,0,97501,0,Land,5/17/2022,Carretera 809 Km 3.6 interior Sector Santa Teresita #4 Bo Cedro Arriba,Naranjito,18.2538898,-66.2670442,Company3
25462,"Bo. Santa Rosa, Local Comercial en Lajas"," $275,000.00 ",6,2.0,2880,4061,1982,Commercial,4/21/2022,Bo. Santa Rosa Carr. 117 Km 2.6,Lajas,18.05,-67.033,Company1
25464,"Bo. Manzanilla, Casa en Juana Diaz"," $59,000.00 ",3,1.0,936,299,1990,Homes,4/30/2022,BO MANZANILLA 2000016192,Juana Diaz,17.97606305,-66.5358778,Company1
25471,"Urb. Paseo Del Sol, Casa en Dorado"," $800,000.00 ",4,3.5,2350,504,2000,Homes,5/6/2022,J-20 #216 Calle Metis Urb. Paseo Del Sol,Dorado,18.4596042,-66.2892686,Company1
25472,"Cond. El Girasol, Apartamento en Carolina"," $236,000.00 ",0,1.0,360,33,1972,Apartment,5/20/2022,4837 Ave Isla Verde Apt 208 Cond El Girasol,Carolina - Isla Verde,18.4437281,-66.0267243,Company1
25483,"Urb. Mansiones De Terralinda, Terreno en Luquillo"," $60,500.00 ",0,0.0,0,1043,0,Land,5/18/2022,Mansiones de Terralinda Lote 7,Luquillo,18.3554,-65.7278,Company1
25496,"Bo. Caimito, Casa en San Juan"," $245,000.00 ",4,2.5,2150,697,1957,Homes,4/30/2022,Bo Caimito Camino Pablo Diaz,San Juan - Rio Piedras,18.322525,-66.0682,Company1
25498,"Calle De Diego, Comercial En San Juan"," $500,000.00 ",8,4.5,6900,1195,1960,Commercial,5/4/2022,40-41 Calle de Diego,San Juan - Rio Piedras,18.39730435,-66.03016238,Company1
